pathway	AH12	AH13	AH19	AH20	IA1	IA3	IA5	IA6	IA7	IA8	IA9	IA10	IA15	IA16	IA17	IA18	IA19	IA20	IA21
ko04212	1706	206	292	1357	88	61	263	2146	1847	219	60	302	253	102	238	256	128	101	165
ko04213	1738	195	283	1493	74	51	229	1995	1719	195	52	277	230	85	229	240	118	98	157
ko04214	822	18	88	531	12	12	27	9	10	32	9	41	33	14	29	42	24	20	25
ko04215	290	1	21	161	0	0	0	0	0	3	1	5	5	0	5	9	5	4	4
ko04216	900	47	132	558	34	39	89	611	524	82	33	116	100	44	75	100	61	29	67
ko04217	1340	160	253	1079	75	58	255	1408	1213	210	48	246	204	112	176	195	95	87	145
ko04260	414	51	66	323	17	10	61	675	579	53	14	69	62	15	66	68	35	26	45
ko04261	12	51	33	89	17	10	61	675	579	44	11	54	47	15	51	41	20	14	33
ko04380	2	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0
ko04612	168	5	27	76	6	6	18	1	1	20	5	26	23	11	16	23	12	10	18
ko04614	182	4	23	78	8	8	10	1	1	14	8	15	14	8	12	12	12	0	11
ko04621	1015	122	205	787	63	49	188	1109	957	176	46	248	208	84	186	208	100	88	150
ko04622	118	11	16	133	1	1	9	81	71	6	1	7	3	6	8	6	1	2	3
ko04626	1160	91	172	746	52	30	130	687	591	117	31	160	143	61	121	128	64	59	96
ko04657	168	5	27	76	6	6	18	1	1	20	5	26	23	11	16	23	12	10	18
ko04659	168	5	27	76	6	6	18	1	1	20	5	26	23	11	16	23	12	10	18
ko04666	12	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04714	1580	10	157	892	20	31	33	2	2	49	25	75	63	24	43	87	57	22	42
ko04723	4	0	0	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04724	897	118	163	730	54	28	161	1296	1113	128	29	174	149	51	127	126	56	58	88
ko04726	348	1	28	193	2	4	3	0	0	3	2	2	1	2	0	4	5	1	1
ko04727	890	120	166	721	56	28	163	1297	1114	130	29	183	156	52	132	132	57	61	91
ko04728	348	1	28	193	2	4	3	0	0	3	2	2	1	2	0	4	5	1	1
ko04910	276	21	53	217	18	17	47	28	26	45	13	57	47	34	35	45	24	22	36
ko04911	12	51	33	89	17	10	61	675	579	44	11	54	47	15	51	41	20	14	33
ko04912	12	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04914	168	5	27	76	6	6	18	1	1	20	5	26	23	11	16	23	12	10	18
ko04915	168	5	27	76	6	6	18	1	1	20	5	26	23	11	16	23	12	10	18
ko04916	120	0	9	51	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04917	19	64	41	161	19	12	81	731	628	58	12	66	54	23	56	49	21	21	35
ko04918	597	148	140	613	53	27	185	2045	1754	134	32	169	148	48	154	124	59	52	102
ko04919	159	51	42	145	17	10	61	675	579	44	11	54	47	15	51	41	20	14	33
ko04920	650	10	87	377	22	31	35	1	1	42	23	65	53	26	29	62	42	13	32
ko04922	735	440	380	1568	177	104	561	4399	3786	424	94	515	424	187	413	376	176	188	291
ko04924	21	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04925	12	51	33	89	17	10	61	675	579	44	11	54	47	15	51	41	20	14	33
ko04928	12	0	0	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ko04930	273	65	69	290	25	17	91	660	568	68	15	77	62	34	62	56	26	28	48
ko04931	556	84	121	501	44	38	140	680	587	116	30	123	103	65	91	98	55	46	80
ko04932	692	1	54	395	0	0	0	0	0	12	4	20	20	0	20	36	20	16	16
ko04934	271	57	98	250	16	11	79	646	554	58	11	93	77	19	61	94	38	34	55
ko04940	172	64	64	259	26	17	83	660	568	66	16	89	73	29	70	71	33	30	49
ko04960	12	51	33	89	17	10	61	675	579	44	11	54	47	15	51	41	20	14	33
ko04961	12	51	33	89	17	10	61	675	579	44	11	54	47	15	51	41	20	14	33
ko04964	158	102	82	265	45	16	125	1312	1125	94	22	133	118	30	107	90	39	40	68
ko04970	12	51	33	89	17	10	61	675	579	44	11	54	47	15	51	41	20	14	33
